SAE.MIL,Malfunction Indicator Lamp (MIL) Status,0101,1,1,0,DTC,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.DTC_COUNT,Number of Emission-Related DTCs,0101,1,1,1,DTC,Generic,SAE,3,,,0,128,0,128,1,0,0,0
SAE.STORED_DTCS,List of Stored DTCs,03,3,0,0,DTC,Generic,SAE,3,,,,,,,0,0,1,1
SAE.PENDING_DTCS,List of Pending DTCs,07,7,0,0,DTC,Generic,SAE,3,,,,,,,0,0,1,1
SAE.PERMANENT_DTCS,List of Permanent DTCs,0A,10,0,0,DTC,Generic,SAE,3,,,,,,,0,0,1,1
SAE.MISFIRE_SUPPORT,Misfire Monitoring Support,0101,1,1,2,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.FUEL_SUPPORT,Fuel System Monitoring Support,0101,1,1,3,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CCM_SUPPORT,Comprehensive Component Monitoring Support,0101,1,1,4,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.MISFIRE_STATUS,Misfire Monitoring Completed,0101,1,1,5,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.FUEL_STATUS,Fuel System Monitoring Completed,0101,1,1,6,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CCM_STATUS,Comprehensive Component Monitoring Completed,0101,1,1,7,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CAT_SUPPORT,Catalyst Monitoring Support,0101,1,1,8,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.HCAT_SUPPORT,Heated Catalyst Monitoring Support,0101,1,1,9,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.EVAP_SUPPORT,Evaporative System Monitoring Support,0101,1,1,10,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.AIR_SUPPORT,Secondary Air System Monitoring Support,0101,1,1,11,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.AC_SUPPORT,A/C System Refrigerant Monitoring Support,0101,1,1,12,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2_SUPPORT,Oxygen Sensor Monitoring Support,0101,1,1,13,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.O2HTR_SUPPORT,Oxygen Sensor Heater Monitoring Support,0101,1,1,14,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.EGR_SUPPORT,EGR System Monitoring Support,0101,1,1,15,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CAT_STATUS,Catalyst Monitoring Completed,0101,1,1,16,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.HCAT_STATUS,Heated Catalyst Monitoring Completed,0101,1,1,17,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
